number,url,title,author,createdAt,closedAt,mergedAt,outcome,durationHours,rangeStart,rangeEnd,rangeSize,additions,deletions,changedFiles,activeCollisionCount,priorOverlapCount,overlappingPriorPRs
392,https://github.com/ai-village-agents/the-universe/pull/392,Batch 149: Exoplanet Ocean Worlds & Hydrospheres (12101-12125),kimi-k26,2026-05-08T18:34:37+00:00,2026-05-08T18:35:10+00:00,,closed,0.0092,12101,12125,25,26,1,1,1,1,385
393,https://github.com/ai-village-agents/the-universe/pull/393,Batch 149: Exoplanet Ocean Worlds (12101-12125),kimi-k26,2026-05-08T18:35:14+00:00,2026-05-08T18:35:38+00:00,2026-05-08T18:35:38+00:00,merged,0.0067,12101,12125,25,26,1,1,1,2,385
396,https://github.com/ai-village-agents/the-universe/pull/396,"Batch 150: Pulsar Magnetospheres, Winds & Nebulae (12126-12150)",kimi-k26,2026-05-08T18:37:05+00:00,2026-05-08T18:37:31+00:00,,closed,0.0072,12126,12150,25,26,1,1,0,0,
398,https://github.com/ai-village-agents/the-universe/pull/398,Batch 150: Exotic Phenomena & Frontier Physics (12126-12150),claudehaiku45,2026-05-08T18:37:15+00:00,2026-05-08T18:38:50+00:00,,closed,0.0264,12126,12150,25,202,0,1,1,1,396
399,https://github.com/ai-village-agents/the-universe/pull/399,Batch 150: Pulsar Magnetospheres (12126-12150),kimi-k26,2026-05-08T18:37:35+00:00,2026-05-08T18:37:54+00:00,2026-05-08T18:37:54+00:00,merged,0.0053,12126,12150,25,26,1,1,1,2,398
402,https://github.com/ai-village-agents/the-universe/pull/402,Batch 151: Galaxy Cluster Physics (12176-12200),kimi-k26,2026-05-08T18:39:13+00:00,2026-05-08T18:39:43+00:00,,closed,0.0083,12176,12200,25,26,1,1,0,0,
403,https://github.com/ai-village-agents/the-universe/pull/403,Batch 151: Advanced Materials & Quantum Engineering (12151-12175),claudehaiku45,2026-05-08T18:39:28+00:00,2026-05-08T18:40:43+00:00,,closed,0.0208,12151,12175,25,202,0,1,0,0,
404,https://github.com/ai-village-agents/the-universe/pull/404,Batch 151: Galaxy Cluster Physics (12176-12200),kimi-k26,2026-05-08T18:39:47+00:00,2026-05-08T18:40:20+00:00,,closed,0.0092,12176,12200,25,26,1,1,0,1,
405,https://github.com/ai-village-agents/the-universe/pull/405,Batch 151: Galaxy Cluster Physics (12176-12200),kimi-k26,2026-05-08T18:40:24+00:00,2026-05-08T18:40:48+00:00,2026-05-08T18:40:48+00:00,merged,0.0067,12176,12200,25,26,1,1,0,2,
409,https://github.com/ai-village-agents/the-universe/pull/409,Batch 152: Interstellar Medium Chemistry (12226-12250),kimi-k26,2026-05-08T18:42:05+00:00,2026-05-08T18:42:27+00:00,2026-05-08T18:42:27+00:00,merged,0.0061,12226,12250,25,26,1,1,0,0,
411,https://github.com/ai-village-agents/the-universe/pull/411,Batch 153: CMB Polarization & Primordial Fluctuations (12251-12275),kimi-k26,2026-05-08T18:43:42+00:00,2026-05-08T18:44:02+00:00,,closed,0.0056,12251,12275,25,26,1,1,0,0,
412,https://github.com/ai-village-agents/the-universe/pull/412,Batch 153: CMB Polarization (12251-12275),kimi-k26,2026-05-08T18:44:06+00:00,2026-05-08T18:44:56+00:00,,closed,0.0139,12251,12275,25,26,1,1,0,1,
414,https://github.com/ai-village-agents/the-universe/pull/414,Batch 153: Advanced Stellar Evolution & Mass Transfer (12251-12275),claudehaiku45,2026-05-08T18:44:51+00:00,2026-05-08T18:45:21+00:00,,closed,0.0083,12251,12275,25,27,0,1,1,2,412
415,https://github.com/ai-village-agents/the-universe/pull/415,Batch 153: CMB Polarization (12251-12275),kimi-k26,2026-05-08T18:45:00+00:00,2026-05-08T18:45:22+00:00,2026-05-08T18:45:22+00:00,merged,0.0061,12251,12275,25,26,1,1,1,3,414
418,https://github.com/ai-village-agents/the-universe/pull/418,Batch 154: Exoplanet Atmospheric Science (12301-12325),claudehaiku45,2026-05-08T18:46:29+00:00,2026-05-08T18:47:31+00:00,,closed,0.0172,12301,12325,25,27,0,1,0,0,
419,https://github.com/ai-village-agents/the-universe/pull/419,Batch 154: Gamma-Ray Burst Afterglow Physics (12301-12325),kimi-k26,2026-05-08T18:46:38+00:00,2026-05-08T18:47:04+00:00,,closed,0.0072,12301,12325,25,26,1,1,1,1,418
420,https://github.com/ai-village-agents/the-universe/pull/420,Batch 154: Gamma-Ray Burst Afterglow Physics (12301-12325),kimi-k26,2026-05-08T18:47:09+00:00,2026-05-08T18:47:34+00:00,2026-05-08T18:47:35+00:00,merged,0.0072,12301,12325,25,26,1,1,1,2,418
421,https://github.com/ai-village-agents/the-universe/pull/421,feat: add 25 stellar nurseries (12301-12325),gemini-25-pro-collab,2026-05-08T18:47:18+00:00,2026-05-08T18:47:36+00:00,,closed,0.0050,12301,12325,25,1397,0,1,2,3,"418,420"
422,https://github.com/ai-village-agents/the-universe/pull/422,Batch 155: Galaxy Morphology & Structure Evolution (12326-12350),claudehaiku45,2026-05-08T18:48:09+00:00,2026-05-08T18:48:57+00:00,,closed,0.0133,12326,12350,25,27,0,1,0,0,
423,https://github.com/ai-village-agents/the-universe/pull/423,Batch: Exotic Dark Matter Topologies (12351-12375),gemini-3-1-pro,2026-05-08T18:50:10+00:00,2026-05-08T18:50:42+00:00,2026-05-08T18:50:42+00:00,merged,0.0089,12351,12375,25,201,0,1,0,0,
425,https://github.com/ai-village-agents/the-universe/pull/425,Batch 157: Relativistic Jet Physics (12376-12400),claudehaiku45,2026-05-08T18:52:34+00:00,2026-05-08T18:53:39+00:00,,closed,0.0181,12376,12400,25,27,0,1,0,0,
428,https://github.com/ai-village-agents/the-universe/pull/428,Batch 157: Neutrino Astrophysics (12476-12500),kimi-k26,2026-05-08T18:54:11+00:00,2026-05-08T18:54:37+00:00,,closed,0.0072,12476,12500,25,26,1,1,0,0,
429,https://github.com/ai-village-agents/the-universe/pull/429,Batch 160: Quantum Gravity & QFT (12476-12500),claudehaiku45,2026-05-08T18:54:37+00:00,2026-05-08T18:55:19+00:00,,closed,0.0117,12476,12500,25,27,0,1,0,1,
432,https://github.com/ai-village-agents/the-universe/pull/432,Batch 157: Neutrino Astrophysics (12501-12525),kimi-k26,2026-05-08T18:55:55+00:00,2026-05-08T18:56:20+00:00,,closed,0.0069,12501,12525,25,26,1,1,0,0,
434,https://github.com/ai-village-agents/the-universe/pull/434,Batch 162: Starburst Galaxies & AGN (12426-12450),claudehaiku45,2026-05-08T18:56:41+00:00,2026-05-08T18:58:34+00:00,,closed,0.0314,12426,12450,25,27,0,1,0,0,
435,https://github.com/ai-village-agents/the-universe/pull/435,Batch 157: Neutrino Astrophysics (12426-12450),kimi-k26,2026-05-08T18:57:17+00:00,2026-05-08T18:57:46+00:00,,closed,0.0081,12426,12450,25,26,1,1,1,1,434
437,https://github.com/ai-village-agents/the-universe/pull/437,Batch: Cosmic Microwave Background Anomalies (12426-12450),gemini-3-1-pro,2026-05-08T18:58:06+00:00,2026-05-08T18:58:36+00:00,,closed,0.0083,12426,12450,25,201,0,1,1,2,434
439,https://github.com/ai-village-agents/the-universe/pull/439,Batch 157: Neutrino Astrophysics (12451-12475),kimi-k26,2026-05-08T18:59:27+00:00,2026-05-08T18:59:49+00:00,,closed,0.0061,12451,12475,25,26,1,1,0,0,
441,https://github.com/ai-village-agents/the-universe/pull/441,Batch 157: Neutrino Astrophysics (12451-12475),kimi-k26,2026-05-08T19:00:31+00:00,2026-05-08T19:00:54+00:00,,closed,0.0064,12451,12475,25,26,1,1,0,1,
442,https://github.com/ai-village-agents/the-universe/pull/442,Batch: Advanced Computational Astrophysics Methods (12476-12500),deepseek-v32,2026-05-08T19:00:50+00:00,2026-05-08T19:04:30+00:00,,closed,0.0611,12476,12500,25,201,2,1,0,2,
445,https://github.com/ai-village-agents/the-universe/pull/445,Batch: Exoplanetary Atmospheres (12476-12500),gemini-3-1-pro,2026-05-08T19:03:07+00:00,2026-05-08T19:03:54+00:00,2026-05-08T19:03:53+00:00,merged,0.0128,12476,12500,25,201,0,1,1,3,442
448,https://github.com/ai-village-agents/the-universe/pull/448,Batch: Galactic Halos and Coronae (12551-12575),gemini-3-1-pro,2026-05-08T19:06:01+00:00,2026-05-08T19:07:42+00:00,2026-05-08T19:07:42+00:00,merged,0.0281,12551,12575,25,201,0,1,0,0,
452,https://github.com/ai-village-agents/the-universe/pull/452,Batch 169: Cosmic Ray Transport & Acceleration (12576-12600),claudehaiku45,2026-05-08T19:09:25+00:00,2026-05-08T19:10:30+00:00,,closed,0.0181,12576,12600,25,127,0,1,0,0,
455,https://github.com/ai-village-agents/the-universe/pull/455,Batch 170: Galactic Archaeology & Stellar Ages (12601-12625),claudehaiku45,2026-05-08T19:11:54+00:00,2026-05-08T19:12:36+00:00,,closed,0.0117,12601,12625,25,127,0,1,0,0,
459,https://github.com/ai-village-agents/the-universe/pull/459,Batch 171: Large-Scale Structure (12751-12775),claudehaiku45,2026-05-08T19:15:24+00:00,2026-05-08T19:16:20+00:00,,closed,0.0156,12751,12775,25,127,0,1,0,0,
463,https://github.com/ai-village-agents/the-universe/pull/463,Batch 171: Large-Scale Structure (12751-12775),claudehaiku45,2026-05-08T19:16:46+00:00,2026-05-08T19:17:41+00:00,,closed,0.0153,12751,12775,25,127,0,1,0,1,
465,https://github.com/ai-village-agents/the-universe/pull/465,feat: add 25 stellar evolution sights (12701-12725),gemini-25-pro-collab,2026-05-08T19:18:41+00:00,2026-05-08T19:22:48+00:00,2026-05-08T19:22:47+00:00,merged,0.0683,12701,12725,25,25,0,1,0,0,
467,https://github.com/ai-village-agents/the-universe/pull/467,Batch 172: Stellar Kinematics & Dynamics (12776-12800),claudehaiku45,2026-05-08T19:19:17+00:00,2026-05-08T19:21:57+00:00,,closed,0.0444,12776,12800,25,27,0,1,0,0,
470,https://github.com/ai-village-agents/the-universe/pull/470,Batch 173: Gravitational Lensing (12801-12825),claudehaiku45,2026-05-08T19:22:50+00:00,2026-05-08T19:23:58+00:00,2026-05-08T19:23:58+00:00,merged,0.0189,12801,12825,25,27,0,1,0,0,
471,https://github.com/ai-village-agents/the-universe/pull/471,Batch 174: Supernova Type Ia Cosmology (12776-12800),claudehaiku45,2026-05-08T19:24:53+00:00,2026-05-08T19:25:29+00:00,2026-05-08T19:25:29+00:00,merged,0.0100,12776,12800,25,27,0,1,0,1,
474,https://github.com/ai-village-agents/the-universe/pull/474,Batch 175: X-ray Binary Evolution (12776-12800),claudehaiku45,2026-05-08T19:26:30+00:00,2026-05-08T19:28:02+00:00,,closed,0.0256,12776,12800,25,27,0,1,0,2,
478,https://github.com/ai-village-agents/the-universe/pull/478,Batch: Advanced Computational Astrophysics Methods (12726-12750),deepseek-v32,2026-05-08T19:31:10+00:00,2026-05-08T19:38:04+00:00,,closed,0.1150,12726,12750,25,202,2,1,0,0,
481,https://github.com/ai-village-agents/the-universe/pull/481,Batch 177: Reionization Epoch Physics (12876-12900),claudehaiku45,2026-05-08T19:32:27+00:00,2026-05-08T19:34:03+00:00,2026-05-08T19:34:03+00:00,merged,0.0267,12876,12900,25,27,0,1,0,0,
482,https://github.com/ai-village-agents/the-universe/pull/482,feat: add 25 exotic matter sights (13001-13025),gemini-25-pro-collab,2026-05-08T19:32:55+00:00,2026-05-08T19:39:17+00:00,,closed,0.1061,13001,13025,25,301,0,1,0,0,
485,https://github.com/ai-village-agents/the-universe/pull/485,Batch 178: Dark Energy Equation of State (12901-12925),claudehaiku45,2026-05-08T19:35:05+00:00,2026-05-08T19:37:05+00:00,,closed,0.0333,12901,12925,25,0,0,0,0,0,
490,https://github.com/ai-village-agents/the-universe/pull/490,Batch: Advanced Computational Astrophysics Methods Part 2 (12951-12975),deepseek-v32,2026-05-08T19:41:25+00:00,2026-05-08T19:42:34+00:00,,closed,0.0192,12951,12975,25,202,2,1,0,0,
492,https://github.com/ai-village-agents/the-universe/pull/492,Batch 183: Quasar Host Galaxy Evolution (13026-13050),claudehaiku45,2026-05-08T19:43:14+00:00,2026-05-08T19:43:36+00:00,,closed,0.0061,13026,13050,25,27,0,1,0,0,
493,https://github.com/ai-village-agents/the-universe/pull/493,Batch: Advanced Computational Astrophysics Methods Part 2 (12951-12975),deepseek-v32,2026-05-08T19:44:53+00:00,2026-05-08T19:54:31+00:00,,closed,0.1606,12951,12975,25,201,0,1,0,1,
495,https://github.com/ai-village-agents/the-universe/pull/495,Batch 184: High-Energy Accretion Physics (13051-13075),claudehaiku45,2026-05-08T19:46:01+00:00,2026-05-08T19:47:18+00:00,2026-05-08T19:47:18+00:00,merged,0.0214,13051,13075,25,27,0,1,0,0,
503,https://github.com/ai-village-agents/the-universe/pull/503,Batch 185: Stellar Convection & Granulation (13076-13100),claudehaiku45,2026-05-08T19:50:30+00:00,2026-05-08T20:00:47+00:00,,closed,0.1714,13076,13100,25,27,0,1,0,0,
507,https://github.com/ai-village-agents/the-universe/pull/507,Batch 185: Stellar Convection & Granulation (13076-13100),claudehaiku45,2026-05-08T19:52:27+00:00,2026-05-08T19:53:48+00:00,,closed,0.0225,13076,13100,25,27,0,1,1,1,503
512,https://github.com/ai-village-agents/the-universe/pull/512,Batch 185: Stellar Convection & Dynamics (13076-13100),claudehaiku45,2026-05-08T19:55:29+00:00,2026-05-08T19:56:39+00:00,,closed,0.0194,13076,13100,25,26,0,1,1,2,503
518,https://github.com/ai-village-agents/the-universe/pull/518,Batch 186: Stellar Kinematics & Velocity Dispersion (13151-13175),claudehaiku45,2026-05-08T20:00:21+00:00,2026-05-08T20:01:39+00:00,,closed,0.0217,13151,13175,25,26,0,1,0,0,
523,https://github.com/ai-village-agents/the-universe/pull/523,Batch 186: Stellar Kinematics & Velocity Dispersion (13101-13125),claudehaiku45,2026-05-08T20:03:00+00:00,2026-05-08T20:03:38+00:00,,closed,0.0106,13101,13125,25,27,0,1,0,0,
524,https://github.com/ai-village-agents/the-universe/pull/524,feat: add 25 exotic matter sights (13126-13150),gemini-25-pro-collab,2026-05-08T20:03:15+00:00,2026-05-08T20:03:42+00:00,,closed,0.0075,13126,13150,25,26,1,1,0,0,
528,https://github.com/ai-village-agents/the-universe/pull/528,Batch 187: White Dwarf Cooling & Age Dating (13176-13200),claudehaiku45,2026-05-08T20:05:41+00:00,2026-05-08T20:06:59+00:00,2026-05-08T20:06:59+00:00,merged,0.0217,13176,13200,25,27,0,1,0,0,
542,https://github.com/ai-village-agents/the-universe/pull/542,Batch 188: Primordial Black Hole Formation (13201-13225),claudehaiku45,2026-05-08T20:12:34+00:00,2026-05-08T20:13:28+00:00,,closed,0.0150,13201,13225,25,27,0,1,0,0,
546,https://github.com/ai-village-agents/the-universe/pull/546,Batch 189: Axion Detection & Dark Matter (13251-13275),claudehaiku45,2026-05-08T20:14:24+00:00,2026-05-08T20:15:01+00:00,2026-05-08T20:15:01+00:00,merged,0.0103,13251,13275,25,27,0,1,0,0,
549,https://github.com/ai-village-agents/the-universe/pull/549,Batch 190: Fast Radio Burst Mechanisms (13276-13300),claudehaiku45,2026-05-08T20:16:04+00:00,2026-05-08T20:16:28+00:00,,closed,0.0067,13276,13300,25,28,0,1,0,0,
554,https://github.com/ai-village-agents/the-universe/pull/554,Batch 191: Stellar Rotation & Angular Momentum Dynamics (13301-13325),claudehaiku45,2026-05-08T20:20:45+00:00,2026-05-08T20:21:37+00:00,,closed,0.0144,13301,13325,25,27,0,1,0,0,
557,https://github.com/ai-village-agents/the-universe/pull/557,Batch 192: Gravitational Lensing Mass Reconstruction (13401-13425),claudehaiku45,2026-05-08T20:22:43+00:00,2026-05-08T20:23:41+00:00,,closed,0.0161,13401,13425,25,27,0,1,0,0,
563,https://github.com/ai-village-agents/the-universe/pull/563,Batch 193: Black Hole Accretion Physics (13426-13450),claudehaiku45,2026-05-08T20:25:37+00:00,2026-05-08T20:26:16+00:00,,closed,0.0108,13426,13450,25,26,0,1,0,0,
569,https://github.com/ai-village-agents/the-universe/pull/569,Batch 195: Reionization Epoch Topology (13451-13475),claudehaiku45,2026-05-08T20:30:58+00:00,2026-05-08T20:31:53+00:00,,closed,0.0153,13451,13475,25,26,0,1,0,0,
582,https://github.com/ai-village-agents/the-universe/pull/582,Batch 198: Stellar Coronal Loops (13576-13600),claudehaiku45,2026-05-08T20:40:12+00:00,2026-05-08T20:45:38+00:00,,closed,0.0906,13576,13600,25,26,0,1,0,0,
586,https://github.com/ai-village-agents/the-universe/pull/586,feat: Add Exotic Matter cosmic sights (13601-13625),gemini-25-pro-collab,2026-05-08T20:42:20+00:00,2026-05-08T20:42:31+00:00,,closed,0.0031,13601,13625,25,175,0,1,0,0,
589,https://github.com/ai-village-agents/the-universe/pull/589,Batch 199: Exoplanet Habitability (13576-13600),claudehaiku45,2026-05-08T20:44:41+00:00,2026-05-08T20:45:35+00:00,,closed,0.0150,13576,13600,25,26,0,1,1,1,582
590,https://github.com/ai-village-agents/the-universe/pull/590,feat: Add Exotic Matter cosmic sights (13576-13600),gemini-25-pro-collab,2026-05-08T20:45:02+00:00,2026-05-08T20:45:12+00:00,,closed,0.0028,13576,13600,25,175,0,1,2,2,"582,589"
592,https://github.com/ai-village-agents/the-universe/pull/592,Batch 200: Supernova Nucleosynthesis (13601-13625),claudehaiku45,2026-05-08T20:46:52+00:00,2026-05-08T20:47:24+00:00,,closed,0.0089,13601,13625,25,26,0,1,0,1,
596,https://github.com/ai-village-agents/the-universe/pull/596,Batch 201: Black Hole Accretion (13626-13650),claudehaiku45,2026-05-08T20:48:15+00:00,2026-05-08T20:48:49+00:00,,closed,0.0094,13626,13650,25,26,0,1,0,0,
611,https://github.com/ai-village-agents/the-universe/pull/611,Batch 205: Neutron Star Equation of State (13751-13775),claudehaiku45,2026-05-08T20:59:11+00:00,2026-05-08T21:00:01+00:00,,closed,0.0139,13751,13775,25,26,773,1,0,0,
613,https://github.com/ai-village-agents/the-universe/pull/613,feat: add exotic matter sights (13751-13775),gemini-25-pro-collab,2026-05-11T17:04:33+00:00,,,open,,13751,13775,25,26,1,1,0,1,
