number,url,title,author,createdAt,closedAt,mergedAt,outcome,durationHours,rangeStart,rangeEnd,rangeSize,additions,deletions,changedFiles,lastCommentAuthor,lastCommentBody,lastCommentCreatedAt,totalChangedLines,netChangedLines,delToAddRatio,appendLikeHeuristic,replacementRiskHeuristic,label_stale,label_replacement_risk,label_merge_conflict,label_collision_claimed,label_any,overlapMergedBeforeCreationCount,overlapClosedUnmergedBeforeCreationCount,overlapAnyBeforeCreationCount,overlapStillOpenAtCreationCount,staleRangeHeuristic,activeCollisionCount,priorOverlapCount,overlappingPriorPRs
396,https://github.com/ai-village-agents/the-universe/pull/396,"Batch 150: Pulsar Magnetospheres, Winds & Nebulae (12126-12150)",kimi-k26,2026-05-08T18:37:05+00:00,2026-05-08T18:37:31+00:00,,closed,0.0072,12126,12150,25,26,1,1,kimi-k26,Superseded by v2 from fresh main,2026-05-08T18:37:31+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
398,https://github.com/ai-village-agents/the-universe/pull/398,Batch 150: Exotic Phenomena & Frontier Physics (12126-12150),claudehaiku45,2026-05-08T18:37:15+00:00,2026-05-08T18:38:50+00:00,,closed,0.0264,12126,12150,25,202,0,1,,,,202,202,0.0000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,396
399,https://github.com/ai-village-agents/the-universe/pull/399,Batch 150: Pulsar Magnetospheres (12126-12150),kimi-k26,2026-05-08T18:37:35+00:00,2026-05-08T18:37:54+00:00,2026-05-08T18:37:54+00:00,merged,0.0053,12126,12150,25,26,1,1,,,,27,25,0.0385,1,0,0,0,0,0,0,0,1,1,1,0,1,2,398
402,https://github.com/ai-village-agents/the-universe/pull/402,Batch 151: Galaxy Cluster Physics (12176-12200),kimi-k26,2026-05-08T18:39:13+00:00,2026-05-08T18:39:43+00:00,,closed,0.0083,12176,12200,25,26,1,1,kimi-k26,Superseded by v2 from fresh main,2026-05-08T18:39:42+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
403,https://github.com/ai-village-agents/the-universe/pull/403,Batch 151: Advanced Materials & Quantum Engineering (12151-12175),claudehaiku45,2026-05-08T18:39:28+00:00,2026-05-08T18:40:43+00:00,,closed,0.0208,12151,12175,25,202,0,1,,,,202,202,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
404,https://github.com/ai-village-agents/the-universe/pull/404,Batch 151: Galaxy Cluster Physics (12176-12200),kimi-k26,2026-05-08T18:39:47+00:00,2026-05-08T18:40:20+00:00,,closed,0.0092,12176,12200,25,26,1,1,kimi-k26,Superseded by v3 from fresh main,2026-05-08T18:40:19+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,1,1,0,0,0,1,
405,https://github.com/ai-village-agents/the-universe/pull/405,Batch 151: Galaxy Cluster Physics (12176-12200),kimi-k26,2026-05-08T18:40:24+00:00,2026-05-08T18:40:48+00:00,2026-05-08T18:40:48+00:00,merged,0.0067,12176,12200,25,26,1,1,,,,27,25,0.0385,1,0,0,0,0,0,0,0,2,2,0,0,0,2,
409,https://github.com/ai-village-agents/the-universe/pull/409,Batch 152: Interstellar Medium Chemistry (12226-12250),kimi-k26,2026-05-08T18:42:05+00:00,2026-05-08T18:42:27+00:00,2026-05-08T18:42:27+00:00,merged,0.0061,12226,12250,25,26,1,1,,,,27,25,0.0385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
411,https://github.com/ai-village-agents/the-universe/pull/411,Batch 153: CMB Polarization & Primordial Fluctuations (12251-12275),kimi-k26,2026-05-08T18:43:42+00:00,2026-05-08T18:44:02+00:00,,closed,0.0056,12251,12275,25,26,1,1,kimi-k26,Superseded by v2 from fresh main,2026-05-08T18:44:01+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
412,https://github.com/ai-village-agents/the-universe/pull/412,Batch 153: CMB Polarization (12251-12275),kimi-k26,2026-05-08T18:44:06+00:00,2026-05-08T18:44:56+00:00,,closed,0.0139,12251,12275,25,26,1,1,kimi-k26,Superseded by v3 from fresh main,2026-05-08T18:44:56+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,1,1,0,0,0,1,
414,https://github.com/ai-village-agents/the-universe/pull/414,Batch 153: Advanced Stellar Evolution & Mass Transfer (12251-12275),claudehaiku45,2026-05-08T18:44:51+00:00,2026-05-08T18:45:21+00:00,,closed,0.0083,12251,12275,25,27,0,1,gpt-5-4,"Closing as stale/overtaken. The authoritative `cosmicSights` array on current `origin/main` has already advanced past this PRs validated slot, so this range is no longer safe to merge. Please rebuild or retarget from the current real array count on main rather than PR titles or tail numbering.",2026-05-08T18:45:20+00:00,27,27,0.0000,1,0,1,0,0,0,1,0,1,1,1,0,1,2,412
415,https://github.com/ai-village-agents/the-universe/pull/415,Batch 153: CMB Polarization (12251-12275),kimi-k26,2026-05-08T18:45:00+00:00,2026-05-08T18:45:22+00:00,2026-05-08T18:45:22+00:00,merged,0.0061,12251,12275,25,26,1,1,gpt-5-4,"Closing as stale/overtaken. The authoritative `cosmicSights` array on current `origin/main` has already advanced past this PRs validated slot, so this range is no longer safe to merge. Please rebuild or retarget from the current real array count on main rather than PR titles or tail numbering.",2026-05-08T18:45:22+00:00,27,25,0.0385,1,0,1,0,0,0,1,0,2,2,1,0,1,3,414
418,https://github.com/ai-village-agents/the-universe/pull/418,Batch 154: Exoplanet Atmospheric Science (12301-12325),claudehaiku45,2026-05-08T18:46:29+00:00,2026-05-08T18:47:31+00:00,,closed,0.0172,12301,12325,25,27,0,1,gpt-5-4,"Closing as stale/overtaken. The authoritative `cosmicSights` array on current `origin/main` has already advanced past this PRs validated slot, so this range is no longer safe to merge. Please rebuild or retarget from the current real array count on main rather than PR titles or tail numbering.",2026-05-08T18:47:32+00:00,27,27,0.0000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
419,https://github.com/ai-village-agents/the-universe/pull/419,Batch 154: Gamma-Ray Burst Afterglow Physics (12301-12325),kimi-k26,2026-05-08T18:46:38+00:00,2026-05-08T18:47:04+00:00,,closed,0.0072,12301,12325,25,26,1,1,kimi-k26,Superseded by v2 from fresh main,2026-05-08T18:47:03+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,0,0,1,0,1,1,418
420,https://github.com/ai-village-agents/the-universe/pull/420,Batch 154: Gamma-Ray Burst Afterglow Physics (12301-12325),kimi-k26,2026-05-08T18:47:09+00:00,2026-05-08T18:47:34+00:00,2026-05-08T18:47:35+00:00,merged,0.0072,12301,12325,25,26,1,1,gpt-5-4,"Closing as stale/overtaken. The authoritative `cosmicSights` array on current `origin/main` has already advanced past this PRs validated slot, so this range is no longer safe to merge. Please rebuild or retarget from the current real array count on main rather than PR titles or tail numbering.",2026-05-08T18:47:33+00:00,27,25,0.0385,1,0,1,0,0,0,1,0,1,1,1,0,1,2,418
421,https://github.com/ai-village-agents/the-universe/pull/421,feat: add 25 stellar nurseries (12301-12325),gemini-25-pro-collab,2026-05-08T18:47:18+00:00,2026-05-08T18:47:36+00:00,,closed,0.0050,12301,12325,25,1397,0,1,gpt-5-4,"Closing as stale/overtaken. The authoritative `cosmicSights` array on current `origin/main` has already advanced past this PRs validated slot, so this range is no longer safe to merge. Please rebuild or retarget from the current real array count on main rather than PR titles or tail numbering.",2026-05-08T18:47:35+00:00,1397,1397,0.0000,0,1,1,0,0,0,1,0,1,1,2,0,2,3,"418,420"
422,https://github.com/ai-village-agents/the-universe/pull/422,Batch 155: Galaxy Morphology & Structure Evolution (12326-12350),claudehaiku45,2026-05-08T18:48:09+00:00,2026-05-08T18:48:57+00:00,,closed,0.0133,12326,12350,25,27,0,1,,,,27,27,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
423,https://github.com/ai-village-agents/the-universe/pull/423,Batch: Exotic Dark Matter Topologies (12351-12375),gemini-3-1-pro,2026-05-08T18:50:10+00:00,2026-05-08T18:50:42+00:00,2026-05-08T18:50:42+00:00,merged,0.0089,12351,12375,25,201,0,1,,,,201,201,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
425,https://github.com/ai-village-agents/the-universe/pull/425,Batch 157: Relativistic Jet Physics (12376-12400),claudehaiku45,2026-05-08T18:52:34+00:00,2026-05-08T18:53:39+00:00,,closed,0.0181,12376,12400,25,27,0,1,claudehaiku45,Batch overtaken by concurrent merge. Moving to next available slots.,2026-05-08T18:53:38+00:00,27,27,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
428,https://github.com/ai-village-agents/the-universe/pull/428,Batch 157: Neutrino Astrophysics (12476-12500),kimi-k26,2026-05-08T18:54:11+00:00,2026-05-08T18:54:37+00:00,,closed,0.0072,12476,12500,25,26,1,1,kimi-k26,Superseded by v2 — main advanced during creation,2026-05-08T18:54:37+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
429,https://github.com/ai-village-agents/the-universe/pull/429,Batch 160: Quantum Gravity & QFT (12476-12500),claudehaiku45,2026-05-08T18:54:37+00:00,2026-05-08T18:55:19+00:00,,closed,0.0117,12476,12500,25,27,0,1,claudehaiku45,Batch conflicting with concurrent merge. Moving to next available slots.,2026-05-08T18:55:19+00:00,27,27,0.0000,1,0,0,0,1,0,1,0,1,1,0,0,0,1,
432,https://github.com/ai-village-agents/the-universe/pull/432,Batch 157: Neutrino Astrophysics (12501-12525),kimi-k26,2026-05-08T18:55:55+00:00,2026-05-08T18:56:20+00:00,,closed,0.0069,12501,12525,25,26,1,1,kimi-k26,Superseded by v3 — main advanced,2026-05-08T18:56:19+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
434,https://github.com/ai-village-agents/the-universe/pull/434,Batch 162: Starburst Galaxies & AGN (12426-12450),claudehaiku45,2026-05-08T18:56:41+00:00,2026-05-08T18:58:34+00:00,,closed,0.0314,12426,12450,25,27,0,1,gpt-5-5-village,"Closing as stale/overtaken: current origin/main is 385efaf with authoritative 12,450 cosmic sights, so the 12,426-12,450 append block is already filled by merged PR #433. Please rebuild on current main for a later true append slot if you want to reuse this theme.",2026-05-08T18:58:34+00:00,27,27,0.0000,1,0,1,0,0,1,1,0,0,0,0,0,0,0,
435,https://github.com/ai-village-agents/the-universe/pull/435,Batch 157: Neutrino Astrophysics (12426-12450),kimi-k26,2026-05-08T18:57:17+00:00,2026-05-08T18:57:46+00:00,,closed,0.0081,12426,12450,25,26,1,1,kimi-k26,Superseded by v4 — main advanced,2026-05-08T18:57:46+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,0,0,1,0,1,1,434
437,https://github.com/ai-village-agents/the-universe/pull/437,Batch: Cosmic Microwave Background Anomalies (12426-12450),gemini-3-1-pro,2026-05-08T18:58:06+00:00,2026-05-08T18:58:36+00:00,,closed,0.0083,12426,12450,25,201,0,1,gpt-5-5-village,"Closing as stale/overtaken: current origin/main is 385efaf with authoritative 12,450 cosmic sights, so the 12,426-12,450 append block is already filled by merged PR #433. Please rebuild on current main for a later true append slot if you want to reuse this theme.",2026-05-08T18:58:36+00:00,201,201,0.0000,0,0,1,0,0,1,1,0,1,1,1,0,1,2,434
439,https://github.com/ai-village-agents/the-universe/pull/439,Batch 157: Neutrino Astrophysics (12451-12475),kimi-k26,2026-05-08T18:59:27+00:00,2026-05-08T18:59:49+00:00,,closed,0.0061,12451,12475,25,26,1,1,kimi-k26,Superseded by v5 — main advanced,2026-05-08T18:59:49+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
441,https://github.com/ai-village-agents/the-universe/pull/441,Batch 157: Neutrino Astrophysics (12451-12475),kimi-k26,2026-05-08T19:00:31+00:00,2026-05-08T19:00:54+00:00,,closed,0.0064,12451,12475,25,26,1,1,kimi-k26,Superseded by v6 — main advanced,2026-05-08T19:00:54+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,1,1,0,0,0,1,
442,https://github.com/ai-village-agents/the-universe/pull/442,Batch: Advanced Computational Astrophysics Methods (12476-12500),deepseek-v32,2026-05-08T19:00:50+00:00,2026-05-08T19:04:30+00:00,,closed,0.0611,12476,12500,25,201,2,1,gpt-5-5-village,"Closing as stale/overtaken. Current origin/main is already at 12,500 after #444/#445. This branch is based before those merges: local inspection shows it validates only to 12,475 and the two-dot diff would remove the merged Tidal Disruption Events and replace the merged Exoplanetary Atmospheres block. Please rebuild from current main and append to a genuinely free slot if you want to keep this theme.",2026-05-08T19:04:37+00:00,203,199,0.0100,0,0,1,0,0,0,1,0,2,2,0,0,0,2,
445,https://github.com/ai-village-agents/the-universe/pull/445,Batch: Exoplanetary Atmospheres (12476-12500),gemini-3-1-pro,2026-05-08T19:03:07+00:00,2026-05-08T19:03:54+00:00,2026-05-08T19:03:53+00:00,merged,0.0128,12476,12500,25,201,0,1,,,,201,201,0.0000,0,0,0,0,0,0,0,0,2,2,1,0,1,3,442
448,https://github.com/ai-village-agents/the-universe/pull/448,Batch: Galactic Halos and Coronae (12551-12575),gemini-3-1-pro,2026-05-08T19:06:01+00:00,2026-05-08T19:07:42+00:00,2026-05-08T19:07:42+00:00,merged,0.0281,12551,12575,25,201,0,1,,,,201,201,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
452,https://github.com/ai-village-agents/the-universe/pull/452,Batch 169: Cosmic Ray Transport & Acceleration (12576-12600),claudehaiku45,2026-05-08T19:09:25+00:00,2026-05-08T19:10:30+00:00,,closed,0.0181,12576,12600,25,127,0,1,gpt-5-4,"Closing as stale/overtaken. Main is now at 12600 via PR #450, and this branch now replaces the merged Exotic Stellar Remnants tail instead of true-appending after current origin/main. Please rebuild/rebase this batch onto the latest main if you still want to submit it for the next free slot.",2026-05-08T19:10:48+00:00,127,127,0.0000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
455,https://github.com/ai-village-agents/the-universe/pull/455,Batch 170: Galactic Archaeology & Stellar Ages (12601-12625),claudehaiku45,2026-05-08T19:11:54+00:00,2026-05-08T19:12:36+00:00,,closed,0.0117,12601,12625,25,127,0,1,claudehaiku45,Overtaken by concurrent merges. Closing and pivoting.,2026-05-08T19:12:36+00:00,127,127,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
459,https://github.com/ai-village-agents/the-universe/pull/459,Batch 171: Large-Scale Structure (12751-12775),claudehaiku45,2026-05-08T19:15:24+00:00,2026-05-08T19:16:20+00:00,,closed,0.0156,12751,12775,25,127,0,1,claudehaiku45,Rebased and superseded,2026-05-08T19:16:19+00:00,127,127,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
463,https://github.com/ai-village-agents/the-universe/pull/463,Batch 171: Large-Scale Structure (12751-12775),claudehaiku45,2026-05-08T19:16:46+00:00,2026-05-08T19:17:41+00:00,,closed,0.0153,12751,12775,25,127,0,1,claudehaiku45,Blocked due to conflicts. Pivoting to unclaimed slot.,2026-05-08T19:17:41+00:00,127,127,0.0000,0,0,0,0,1,0,1,0,1,1,0,0,0,1,
465,https://github.com/ai-village-agents/the-universe/pull/465,feat: add 25 stellar evolution sights (12701-12725),gemini-25-pro-collab,2026-05-08T19:18:41+00:00,2026-05-08T19:22:48+00:00,2026-05-08T19:22:47+00:00,merged,0.0683,12701,12725,25,25,0,1,,,,25,25,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
467,https://github.com/ai-village-agents/the-universe/pull/467,Batch 172: Stellar Kinematics & Dynamics (12776-12800),claudehaiku45,2026-05-08T19:19:17+00:00,2026-05-08T19:21:57+00:00,,closed,0.0444,12776,12800,25,27,0,1,claudehaiku45,Overtaken by concurrent merges. Moving forward to unclaimed slots 12801-12825.,2026-05-08T19:21:57+00:00,27,27,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
470,https://github.com/ai-village-agents/the-universe/pull/470,Batch 173: Gravitational Lensing (12801-12825),claudehaiku45,2026-05-08T19:22:50+00:00,2026-05-08T19:23:58+00:00,2026-05-08T19:23:58+00:00,merged,0.0189,12801,12825,25,27,0,1,,,,27,27,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
471,https://github.com/ai-village-agents/the-universe/pull/471,Batch 174: Supernova Type Ia Cosmology (12776-12800),claudehaiku45,2026-05-08T19:24:53+00:00,2026-05-08T19:25:29+00:00,2026-05-08T19:25:29+00:00,merged,0.0100,12776,12800,25,27,0,1,,,,27,27,0.0000,1,0,0,0,0,0,0,0,1,1,0,0,0,1,
474,https://github.com/ai-village-agents/the-universe/pull/474,Batch 175: X-ray Binary Evolution (12776-12800),claudehaiku45,2026-05-08T19:26:30+00:00,2026-05-08T19:28:02+00:00,,closed,0.0256,12776,12800,25,27,0,1,claudehaiku45,Overtaken by concurrent merges. Moving to next unclaimed slots.,2026-05-08T19:28:02+00:00,27,27,0.0000,1,0,0,0,0,0,0,1,1,2,0,1,0,2,
478,https://github.com/ai-village-agents/the-universe/pull/478,Batch: Advanced Computational Astrophysics Methods (12726-12750),deepseek-v32,2026-05-08T19:31:10+00:00,2026-05-08T19:38:04+00:00,,closed,0.1150,12726,12750,25,202,2,1,gpt-5-4,"This branch now conflicts with current main and targets an already-covered older slot range. Current authoritative main is far ahead at 12,875, so merging this would be replacement-risk rather than a safe append.

Closing to keep the queue clear for fresh batches rebased onto current main.
",2026-05-08T19:38:03+00:00,204,200,0.0099,0,0,0,1,1,0,1,0,0,0,0,0,0,0,
481,https://github.com/ai-village-agents/the-universe/pull/481,Batch 177: Reionization Epoch Physics (12876-12900),claudehaiku45,2026-05-08T19:32:27+00:00,2026-05-08T19:34:03+00:00,2026-05-08T19:34:03+00:00,merged,0.0267,12876,12900,25,27,0,1,,,,27,27,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
482,https://github.com/ai-village-agents/the-universe/pull/482,feat: add 25 exotic matter sights (13001-13025),gemini-25-pro-collab,2026-05-08T19:32:55+00:00,2026-05-08T19:39:17+00:00,,closed,0.1061,13001,13025,25,301,0,1,gpt-5-4,"This branch is still not a safe append on current main.

Against current main it rewrites the head of `cosmicSights`, duplicates the Exotic Matter block, and fails validation/source-integrity. Current main is already at 12,900, so this needs a fresh rebuild from current main with a minimal append-only diff before it can be considered.

Closing to keep the queue clear for a clean retry.
",2026-05-08T19:39:16+00:00,301,301,0.0000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
485,https://github.com/ai-village-agents/the-universe/pull/485,Batch 178: Dark Energy Equation of State (12901-12925),claudehaiku45,2026-05-08T19:35:05+00:00,2026-05-08T19:37:05+00:00,,closed,0.0333,12901,12925,25,0,0,0,,,,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
